ENST,gene_name
ENST00000361390.2,MT-ND1
ENST00000361453.3,MT-ND2
ENST00000361624.2,MT-CO1
ENST00000361739.1,MT-CO2
ENST00000361851.1,MT-ATP8
ENST00000361899.2,MT-ATP6
ENST00000362079.2,MT-CO3
ENST00000361227.2,MT-ND3
ENST00000361335.1,MT-ND4L
ENST00000361381.2,MT-ND4
ENST00000361567.2,MT-ND5
ENST00000361681.2,MT-ND6
ENST00000361789.2,MT-CYB
ENST00000630425.2,SERTAD4
ENST00000631074.2,PADI1
ENST00000628984.1,RCC2
ENST00000631021.3,RCC2
ENST00000611293.4,VSTM1
ENST00000617115.4,VSTM1
ENST00000614390.4,VSTM1
ENST00000612942.4,VSTM1
ENST00000610575.1,VSTM1
ENST00000633557.1,AC068594.3
ENST00000612465.1,AC011043.1
ENST00000615521.4,NLRP2
ENST00000615391.4,NLRP2
ENST00000611676.4,NLRP2
ENST00000616903.1,NLRP2
ENST00000618740.4,NLRP7
ENST00000615699.1,NLRP7
ENST00000614788.1,TFPT
ENST00000622674.1,AC171558.1
ENST00000620707.1,TARM1
ENST00000613712.4,TSEN34
ENST00000619263.4,TSEN34
ENST00000617149.1,TSEN34
ENST00000382776.5,AC026740.3
ENST00000622126.1,AC026740.3
ENST00000616910.4,CNOT3
ENST00000613528.4,CNOT3
ENST00000611667.1,CNOT3
ENST00000629832.3,RPS6KA1
ENST00000630838.2,RPS6KA1
ENST00000631108.2,RPS6KA1
ENST00000629025.2,RPS6KA1
ENST00000628081.2,RPS6KA1
ENST00000628256.2,RPS6KA1
ENST00000625863.1,RPS6KA1
ENST00000629099.1,RPS6KA1
ENST00000610629.4,VSTM1
ENST00000616717.4,VSTM1
ENST00000618448.4,VSTM1
ENST00000620314.4,VSTM1
ENST00000611985.1,VSTM1
ENST00000619842.4,MBOAT7
ENST00000618826.4,MBOAT7
ENST00000620311.1,MBOAT7
ENST00000605259.2,AL391987.2
ENST00000620720.3,RPS9
ENST00000625297.1,RPS9
ENST00000552607.2,CR847794.2
ENST00000621875.4,MBOAT7
ENST00000621146.4,MBOAT7
ENST00000612567.1,MBOAT7
ENST00000613204.1,AC007325.4
ENST00000611746.1,AC141272.1
ENST00000619130.1,AC136616.3
ENST00000618686.1,BX004987.1
ENST00000615726.1,TARM1
ENST00000617299.4,CHRFAM7A
ENST00000620917.4,CHRFAM7A
ENST00000618874.1,CHRFAM7A
ENST00000612315.1,AC213203.4
ENST00000628229.1,PADI4
ENST00000626048.2,PADI4
ENST00000616307.4,AC011476.9
ENST00000617973.4,AC011476.9
ENST00000620921.4,AC011476.9
ENST00000615207.1,AC011476.9
ENST00000616040.4,NLRP2
ENST00000619281.4,NLRP2
ENST00000616919.4,NLRP2
ENST00000613851.1,NLRP2
ENST00000612406.4,OSCAR
ENST00000617622.4,OSCAR
ENST00000619631.4,OSCAR
ENST00000619170.4,OSCAR
ENST00000612543.1,OSCAR
ENST00000619067.4,AC011476.4
ENST00000617304.4,AC011476.4
ENST00000612384.4,AC011476.4
ENST00000616677.1,AC011476.4
ENST00000615426.4,NLRP7
ENST00000614879.1,NLRP7
ENST00000629379.3,ZKSCAN7
ENST00000625422.2,ZKSCAN7
ENST00000629459.2,ZKSCAN7
ENST00000626497.2,ZKSCAN7
